time: 0 seconds
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
1,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
2,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
3,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
4,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,

time: 1 seconds
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,-,-,-,-,-,-,-,316.5,338.91443696175304,338.9144369569673,338.9144369535441,338.91443695101117,338.9144369490849,338.9144369475856,312.54375000425006,312.54375000425017,346.75988673540957,
1,-,-,-,-,-,-,-,316.5,338.91443696175304,338.9144369569673,338.9144369535441,338.91443695101117,338.9144369490849,338.9144369475856,312.54375000425006,312.54375000425017,348.44272501564535,
2,-,-,-,-,-,-,-,316.5,338.91443696175304,338.9144369569673,338.9144369535441,338.91443695101117,338.9144369490849,338.9144369475856,312.54375000425006,312.54375000425017,355.7350242300001,
3,-,-,-,-,-,-,-,316.5,338.91443696175304,338.9144369569673,338.9144369535441,338.91443695101117,338.9144369490849,338.9144369475856,312.54375000425006,312.54375000425017,352.3693476695287,
4,-,-,-,-,-,-,-,316.5,338.91443696175304,338.9144369569673,338.9144369535441,338.91443695101117,338.9144369490849,338.9144369475856,312.54375000425006,312.54375000425017,348.16225196893936,

time: 2 seconds
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,-,-,-,-,-,-,-,316.58658457274504,363.4438781863423,362.916257749947,362.9162577426156,362.91625773719096,362.9162577330655,363.7684186852056,305.54663825716904,303.6969983927487,384.47589863910594,
1,-,-,-,-,-,-,-,316.58658457274504,363.4438781863423,362.916257749947,362.9162577426156,362.91625773719096,362.9162577330655,363.7684186852056,305.54663825716904,303.4540386160355,388.319084459262,
2,-,-,-,-,-,-,-,316.58658457274504,363.4438781863423,362.916257749947,362.9162577426156,362.91625773719096,362.9162577330655,363.7684186852056,305.54663825716904,302.4012129169451,405.11125498522534,
3,-,-,-,-,-,-,-,316.58658457274504,363.4438781863423,362.916257749947,362.9162577426156,362.91625773719096,362.9162577330655,363.7684186852056,305.54663825716904,302.88713247037145,397.33617549616764,
4,-,-,-,-,-,-,-,316.58658457274504,363.4438781863423,362.916257749947,362.9162577426156,362.91625773719096,362.9162577330655,363.7684186852056,305.54663825716904,303.4945319121544,387.67896807068746,

time: 3 seconds
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,-,-,-,-,-,-,-,316.7675892865572,390.30400755526836,388.60514214284547,388.6178804237785,388.6178804150653,388.5901056806901,391.43365054541147,295.17321618183377,288.0204250606249,431.95086525628915,
1,-,-,-,-,-,-,-,316.7675892865572,390.30400755526836,388.60514214284547,388.6178804237785,388.6178804150653,388.5901056806901,391.43365054541147,295.20852127438803,287.1622531042429,438.5929292782171,
2,-,-,-,-,-,-,-,316.7675892865572,390.30400755526836,388.60514214284547,388.6178804237785,388.6178804150653,388.5901056806901,391.43365054541147,295.3615100087897,283.41904041014857,467.86464390149877,
3,-,-,-,-,-,-,-,316.7675892865572,390.30400755526836,388.60514214284547,388.6178804237785,388.6178804150653,388.5901056806901,391.43365054541147,295.29089982368123,285.15066321641586,454.26652694511625,
4,-,-,-,-,-,-,-,316.7675892865572,390.30400755526836,388.60514214284547,388.6178804237785,388.6178804150653,388.5901056806901,391.43365054541147,295.2026370922956,287.30504420467656,437.4874462240756,

time: 4 seconds
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,-,-,-,-,-,-,-,317.0516526055628,419.73466724078185,416.0845979536482,416.1399981578245,416.14059886901015,416.01655814936623,422.33837041617585,281.2423242768432,262.7973432137446,492.2498320647394,
1,-,-,-,-,-,-,-,317.0516526055628,419.73466724078185,416.0845979536482,416.1399981578245,416.14059886901015,416.01655814936623,422.33722954254347,281.41109407873347,260.76290862337044,502.5496254961614,
2,-,-,-,-,-,-,-,317.0516526055628,419.73466724078185,416.0845979536482,416.1399981578245,416.14059886901015,416.01655814936623,422.3322857568032,282.14673449393234,251.82971159064388,548.3446183358094,
